Status;Emotional state;Pose;Friendly name;Animation name;Animation type;Transition;Look ats;Tags;Dialog generator - animation speed;Generator generator - animation weight
;Determined;Standing;idle;ep1_olgierd_standing_determined_idle;Idle;;ep1_olgierd_standing_determined_body_lookat, ep1_olgierd_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;ascend stairs loop;ep1_olgierd_ascend_stairs_cycle_loop;Gesture;;;;0.72-1.0;0.4-1.0
;;;ascend stairs start;ep1_olgierd_ascend_stairs_cycle_start;Gesture;;;;0.72-1.0;0.4-1.0
;;;ascend stairs stop;ep1_olgierd_ascend_stairs_cycle_stop;Gesture;;;;0.72-1.0;0.4-1.0
;;;descend mansion stairs ;ep1_olgierd_descend_mansion_stairs;Gesture;;;;0.72-1.0;0.4-1.0
;;;descend stairs loop;ep1_olgierd_descend_stairs_cycle_loop;Gesture;;;;0.72-1.0;0.4-1.0
;;;descend stairs start;ep1_olgierd_descend_stairs_cycle_start;Gesture;;;;0.72-1.0;0.4-1.0
;;;descend stairs stop;ep1_olgierd_descend_stairs_cycle_stop;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 01;ep1_olgierd_standing_determined_gesture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 02;ep1_olgierd_standing_determined_gesture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 03;ep1_olgierd_standing_determined_gesture_explain_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;question 01;ep1_olgierd_standing_determined_gesture_question_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;question 02;ep1_olgierd_standing_determined_gesture_question_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;shove into cell olgierd;ep1_olgierd_standing_determined_gesture_shove_into_cell_olgierd;Gesture;;;;0.72-1.0;0.4-1.0
;;;shove into cell other guy;ep1_olgierd_standing_determined_gesture_shove_into_cell_other_guy;Gesture;;;;0.72-1.0;0.4-1.0
;;;walkcycle loop;ep1_olgierd_walkcycle_determined_loop;Gesture;;;;0.72-1.0;0.4-1.0
;;;walkcycle start;ep1_olgierd_walkcycle_determined_start;Gesture;;;;0.72-1.0;0.4-1.0
;;;walkcycle  stop;ep1_olgierd_walkcycle_determined_stop;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift 01;ep1_olgierd_standing_determined_weight_shift_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift 02;ep1_olgierd_standing_determined_weight_shift_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: ep1_olgierd_sitting_oncouch_bored;ep1_olgierd_standing_determined_to_olgierd_sitting_oncouch_bored;Transtion;Olgierd, Bored, Sitting onCouch;;;0.72-1.0;0.4-1.0
;;;take out sword to: olgierd hold sword;ep1_olgierd_standing_determined_to_olgierd_standing_hold_sword;Transtion;Olgierd, Determined, Standing Hold Sword;;;0.72-1.0;0.4-1.0
;;Standing Hold Sword;idle;ep1_olgierd_standing_hold_sword_idle;Idle;;ep1_olgierd_standing_determined_body_lookat, ep1_olgierd_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;talk1;ep1_olgierd_standing_hold_sword_gesture_talk1;Gesture;;;;0.72-1.0;0.4-1.0
;;;give sword;ep1_olgierd_give_sabre;Gesture;;;;0.72-1.0;0.4-1.0
Shani;Determined;Kneeling;idle;ep1_shani_kneeling_determined_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;Standing;idle;ep1_shani_standing_determined_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;weight shift 01;ep1_shani_standing_determined_weight_shift_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift 02;ep1_shani_standing_determined_weight_shift_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;ep1_shani_standing_determined_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;Sad;Sitting;idle;ep1_shani_sitting_sad_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;take flower;ep1_shani_sitting_sad_gesture_take_flower;Gesture;;;;0.72-1.0;0.4-1.0
;;;take rowanberry;ep1_shani_sitting_sad_gesture_take_rowanberry;Gesture;;;;0.72-1.0;0.4-1.0
;Sad2;Sitting;idle;ep1_shani_sitting_sad2_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
