Voicetag;Sex;Pitch;Template;Id
BEAUCLAIR DRUNK MAN 11;M;;;BDKM11
BEAUCLAIR DRUNK MAN 12;M;;;BDKM12
BEAUCLAIR DRUNK MAN 13;M;;;BDKM13
BEAUCLAIR DRUNK MAN 14;M;;;BDKM14
BEAUCLAIR DRUNK MAN 15;M;;;BDKM15
BEAUCLAIR DRUNK MAN 16;M;;;BDKM16
BEAUCLAIR DRUNK MAN 31;M;;;BDKM31
BEAUCLAIR DRUNK MAN 32;M;;;BDKM32
BEAUCLAIR DRUNK MAN 33;M;;;BDKM33
BEAUCLAIR DRUNK MAN 34;M;;;BDKM34
BEAUCLAIR DRUNK MAN 35;M;;;BDKM35
BEAUCLAIR DRUNK MAN 36;M;;;BDKM36
BEAUCLAIR DRUNK MAN 37;M;;;BDKM37
BEAUCLAIR DRUNK MAN 38;M;;;BDKM38
BEAUCLAIR DRUNK MAN 39;M;;;BDKM39
BEAUCLAIR DRUNK WOMAN 01;F;;;BDKW01
BEAUCLAIR DRUNK WOMAN 02;F;;;BDKW02
BEAUCLAIR DRUNK WOMAN 03;F;;;BDKW03
BEAUCLAIR DRUNK WOMAN 11;F;;;BDKW11
BEAUCLAIR DRUNK WOMAN 12;F;;;BDKW12
BEAUCLAIR DRUNK WOMAN 13;F;;;BDKW13
BEAUCLAIR DRUNK WOMAN 14;F;;;BDKW14
BEAUCLAIR DRUNK WOMAN 15;F;;;BDKW15
BEAUCLAIR DRUNK WOMAN 16;F;;;BDKW16
BEAUCLAIR DRUNK WOMAN 31;F;;;BDKW31
BEAUCLAIR DRUNK WOMAN 32;F;;;BDKW32
BEAUCLAIR DRUNK WOMAN 33;F;;;BDKW33
BEAUCLAIR PALACE SERVANT MAN 01;M;;;BPSM01
BEAUCLAIR PALACE SERVANT MAN 02;M;;;BPSM02
BEAUCLAIR PALACE SERVANT MAN 03;M;;;BPSM03
BEAUCLAIR PALACE SERVANT MAN 11;M;;;BPSM11
BEAUCLAIR PALACE SERVANT MAN 12;M;;;BPSM12
BEAUCLAIR PALACE SERVANT MAN 13;M;;;BPSM13
BEAUCLAIR PIMP 31;M;;;BPIP31
BEAUCLAIR PIMP 32;M;;;BPIP32
BEAUCLAIR PIMP 33;M;;;BPIP33
BEAUCLAIR PROSTITUTE 01;F;;;BPT01
BEAUCLAIR PROSTITUTE 02;F;;;BPT02
BEAUCLAIR PROSTITUTE 03;F;;;BPT03
BEAUCLAIR PROSTITUTE 04;F;;;BPT04
BEAUCLAIR PROSTITUTE 05;F;;;BPT05
BEAUCLAIR PROSTITUTE 11;F;;;BPT11
BEAUCLAIR PROSTITUTE 12;F;;;BPT12
BEAUCLAIR PROSTITUTE 13;F;;;BPT13
BEAUCLAIR PROSTITUTE 31;F;;;BPT31
BEAUCLAIR PROSTITUTE 32;F;;;BPT32
BEAUCLAIR PROSTITUTE 33;F;;;BPT33
BEAUCLAIR PROSTITUTE 34;F;;;BPT34
BEAUCLAIR PROSTITUTE 35;F;;;BPT35
BEAUCLAIR PROSTITUTE 36;F;;;BPT36
BEAUCLAIR PROSTITUTE 37;F;;;BPT37
BEAUCLAIR PROSTITUTE 38;F;;;BPT38
BEAUCLAIR PROSTITUTE 39;F;;;BPT39
BEAUCLAIR PROSTITUTE 40;F;;;BPT40
BEAUCLAIR PROSTITUTE MAN 01;M;;;BTM01
BEAUCLAIR PROSTITUTE MAN 02;M;;;BTM02
BEAUCLAIR PROSTITUTE MAN 03;M;;;BTM03
BEAUCLAIR PROSTITUTE MAN 04;M;;;BTM04
BEAUCLAIR PROSTITUTE MAN 05;M;;;BTM05
BEAUCLAIR PROSTITUTE MAN 11;M;;;BTM11
BEAUCLAIR PROSTITUTE MAN 12;M;;;BTM12
BEAUCLAIR PROSTITUTE MAN 13;M;;;BTM13
BEAUCLAIR THUG STRONG 01;M;;;BTHGS01
BEAUCLAIR THUG STRONG 02;M;;;BTHGS02
BEAUCLAIR THUG STRONG 03;M;;;BTHGS03
BEAUCLAIR THUG STRONG 04;M;;;BTHGS04
BEAUCLAIR THUG STRONG 11;M;;;BTHGS11
BEAUCLAIR THUG STRONG 12;M;;;BTHGS12
BEAUCLAIR THUG STRONG 13;M;;;BTHGS13
BEAUCLAIR THUG STRONG 31;M;;;BTHGS31
BEAUCLAIR THUG STRONG 32;M;;;BTHGS32
BEAUCLAIR THUG STRONG 33;M;;;BTHGS33
BEAUCLAIR THUG STRONG 34;M;;;BTHGS34
BEAUCLAIR THUG STRONG 35;M;;;BTHGS35
BEAUCLAIR THUG STRONG 36;M;;;BTHGS36
BEAUCLAIR THUG STRONG 37;M;;;BTHGS37
BEAUCLAIR THUG STRONG 38;M;;;BTHGS38
BEAUCLAIR THUG STRONG 39;M;;;BTHGS39
BEAUCLAIR THUG STRONG 40;M;;;BTHGS40
BEAUCLAIR THUG WEAK 01;M;;;BTHGW01
BEAUCLAIR THUG WEAK 02;M;;;BTHGW02
BEAUCLAIR THUG WEAK 03;M;;;BTHGW03
BEAUCLAIR THUG WEAK 04;M;;;BTHGW04
BEAUCLAIR THUG WEAK 11;M;;;BTHGW11
BEAUCLAIR THUG WEAK 12;M;;;BTHGW12
BEAUCLAIR THUG WEAK 13;M;;;BTHGW13
BEAUCLAIR THUG WEAK 31;M;;;BTHGW31
BEAUCLAIR THUG WEAK 32;M;;;BTHGW32
BEAUCLAIR THUG WEAK 33;M;;;BTHGW33
BEAUCLAIR THUG WEAK 34;M;;;BTHGW34
BEAUCLAIR THUG WEAK 35;M;;;BTHGW35
BEAUCLAIR THUG WEAK 36;M;;;BTHGW36
BEAUCLAIR THUG WEAK 37;M;;;BTHGW37
BEAUCLAIR THUG WEAK 38;M;;;BTHGW38
BEAUCLAIR THUG WEAK 39;M;;;BTHGW39
BEAUCLAIR THUG WEAK 40;M;;;BTHGW40
FOX HOLLOW ELDORMAN;M;;;FHEM
LODGE MEMBER 01;M;;;LDG01
LODGE MEMBER 02;M;;;LDG02
LODGE MEMBER 03;M;;;LDG03
LODGE MEMBER 04;M;;;LDG04
LODGE MEMBER 05;M;;;LDG05
NILFGAARDIAN EMISSARY MAN 01;M;;;NEM01
NILFGAARDIAN EMISSARY MAN 02;M;;;NEM02
NILFGAARDIAN EMISSARY MAN 03;M;;;NEM03
NILFGAARDIAN EMISSARY MAN 11;M;;;NEM11
NILFGAARDIAN EMISSARY MAN 12;M;;;NEM12
NILFGAARDIAN EMISSARY MAN 13;M;;;NEM13
NILFGAARDIAN EMISSARY WOMAN 01;F;;;NEW01
NILFGAARDIAN EMISSARY WOMAN 02;F;;;NEW02
NILFGAARDIAN EMISSARY WOMAN 03;F;;;NEW03
NILFGAARDIAN EMISSARY WOMAN 11;F;;;NEW11
NILFGAARDIAN EMISSARY WOMAN 12;F;;;NEW12
NILFGAARDIAN EMISSARY WOMAN 13;F;;;NEW13
NILFGAARDIAN SAILOR 01;M;;;NSR01
NILFGAARDIAN SAILOR 02;M;;;NSR02
NILFGAARDIAN SAILOR 03;M;;;NSR03
NILFGAARDIAN SAILOR 11;M;;;NSR11
NILFGAARDIAN SAILOR 12;M;;;NSR12
NILFGAARDIAN SAILOR 13;M;;;NSR13
NILFGAARDIAN WINE MERCHANT 01;M;;;NWM01
NILFGAARDIAN WINE MERCHANT 02;M;;;NWM02
NILFGAARDIAN WINE MERCHANT 03;M;;;NWM03
NILFGAARDIAN WINE MERCHANT 11;M;;;NWM11
NILFGAARDIAN WINE MERCHANT 12;M;;;NWM12
NILFGAARDIAN WINE MERCHANT 13;M;;;NWM13
SYANNAS BANDIT 01;M;;;SBA01
SYANNAS BANDIT 02;M;;;SBA02
SYANNAS BANDIT 03;M;;;SBA03
SYANNAS BANDIT 04;M;;;SBA04
SYANNAS BANDIT 05;M;;;SBA05
SYANNAS BANDIT 06;M;;;SBA06
SYANNAS BANDIT 07;M;;;SBA07
SYANNAS BANDIT 08;M;;;SBA08
SYANNAS BANDIT 09;M;;;SBA09
TOUSSAINT ARMOURER 01;M;;;TARR01
TOUSSAINT ARMOURER 02;M;;;TARR02
TOUSSAINT ARMOURER 03;M;;;TARR03
TOUSSAINT ARMOURER 11;M;;;TARR11
TOUSSAINT ARMOURER 12;M;;;TARR12
TOUSSAINT ARMOURER 13;M;;;TARR13
TOUSSAINT BANDIT STRONG 01;M;;;TBS01
TOUSSAINT BANDIT STRONG 02;M;;;TBS02
TOUSSAINT BANDIT STRONG 03;M;;;TBS03
TOUSSAINT BANDIT STRONG 04;M;;;TBS04
TOUSSAINT BANDIT STRONG 05;M;;;TBS05
TOUSSAINT BANDIT STRONG 06;M;;;TBS06
TOUSSAINT BANDIT STRONG 07;M;;;TBS07
TOUSSAINT BANDIT STRONG 08;M;;;TBS08
TOUSSAINT BANDIT STRONG 09;M;;;TBS09
TOUSSAINT BANDIT STRONG 11;M;;;TBS11
TOUSSAINT BANDIT STRONG 12;M;;;TBS12
TOUSSAINT BANDIT STRONG 13;M;;;TBS13
TOUSSAINT BANDIT STRONG 14;M;;;TBS14
TOUSSAINT BANDIT STRONG 15;M;;;TBS15
TOUSSAINT BANDIT STRONG 16;M;;;TBS16
TOUSSAINT BANDIT WEAK 01;M;;;TBW01
TOUSSAINT BANDIT WEAK 02;M;;;TBW02
TOUSSAINT BANDIT WEAK 03;M;;;TBW03
TOUSSAINT BANDIT WEAK 04;M;;;TBW04
TOUSSAINT BANDIT WEAK 05;M;;;TBW05
TOUSSAINT BANDIT WEAK 06;M;;;TBW06
TOUSSAINT BANDIT WEAK 07;M;;;TBW07
TOUSSAINT BANDIT WEAK 08;M;;;TBW08
TOUSSAINT BANDIT WEAK 09;M;;;TBW09
TOUSSAINT BANDIT WEAK 11;M;;;TBW11
TOUSSAINT BANDIT WEAK 12;M;;;TBW12
TOUSSAINT BANDIT WEAK 13;M;;;TBW13
TOUSSAINT BANDIT WEAK 14;M;;;TBW14
TOUSSAINT BANDIT WEAK 15;M;;;TBW15
TOUSSAINT BANDIT WEAK 16;M;;;TBW16
TOUSSAINT BARBER 01;M;;;TBRB01
TOUSSAINT BARBER 02;M;;;TBRB02
TOUSSAINT BARBER 03;M;;;TBRB03
TOUSSAINT BARD MAN 01;M;;;TBRM01
TOUSSAINT BARD MAN 02;M;;;TBRM02
TOUSSAINT BARD MAN 03;M;;;TBRM03
TOUSSAINT BARD MAN 04;M;;;TBRM04
TOUSSAINT BARD MAN 05;M;;;TBRM05
TOUSSAINT BARD MAN 06;M;;;TBRM06
TOUSSAINT BARD MAN 11;M;;;TBRM11
TOUSSAINT BARD MAN 12;M;;;TBRM12
TOUSSAINT BARD MAN 13;M;;;TBRM13
TOUSSAINT BARD MAN 14;M;;;TBRM14
TOUSSAINT BARD MAN 31;M;;;TBM31
TOUSSAINT BARD MAN 32;M;;;TBM32
TOUSSAINT BARD MAN 33;M;;;TBM33
TOUSSAINT BARD MAN 34;M;;;TBM34
TOUSSAINT BARD MAN 35;M;;;TBM35
TOUSSAINT BARD MAN 36;M;;;TBM36
TOUSSAINT BARD MAN 37;M;;;TBM37
TOUSSAINT BARD MAN 38;M;;;TBM38
TOUSSAINT BARD MAN 39;M;;;TBM39
TOUSSAINT BARD MAN 40;M;;;TBM40
TOUSSAINT BARD WOMAN 01;F;;;TBRW01
TOUSSAINT BARD WOMAN 02;F;;;TBRW02
TOUSSAINT BARD WOMAN 03;F;;;TBRW03
TOUSSAINT BARD WOMAN 04;F;;;TBRW04
TOUSSAINT BARD WOMAN 05;F;;;TBRW05
TOUSSAINT BARD WOMAN 06;F;;;TBRW06
TOUSSAINT BARD WOMAN 11;F;;;TBRW11
TOUSSAINT BARD WOMAN 12;F;;;TBRW12
TOUSSAINT BARD WOMAN 13;F;;;TBRW13
TOUSSAINT BARD WOMAN 14;F;;;TBRW14
TOUSSAINT BARD WOMAN 31;F;;;TBRW31
TOUSSAINT BARD WOMAN 32;F;;;TBRW32
TOUSSAINT BARD WOMAN 33;F;;;TBRW33
TOUSSAINT BARD WOMAN 34;F;;;TBRW34
TOUSSAINT BARD WOMAN 35;F;;;TBRW35
TOUSSAINT BARD WOMAN 36;F;;;TBRW36
TOUSSAINT BARD WOMAN 37;F;;;TBRW37
TOUSSAINT BLACKSMITH 01;M;;;TBST01
TOUSSAINT BLACKSMITH 02;M;;;TBST02
TOUSSAINT BLACKSMITH 03;M;;;TBST03
TOUSSAINT BLACKSMITH 11;M;;;TBST11
TOUSSAINT BLACKSMITH 12;M;;;TBST12
TOUSSAINT BLACKSMITH 13;M;;;TBST13
TOUSSAINT BONVIVANT MAN 01;M;;;TBNM01
TOUSSAINT BONVIVANT MAN 02;M;;;TBNM02
TOUSSAINT BONVIVANT MAN 03;M;;;TBNM03
TOUSSAINT BONVIVANT MAN 04;M;;;TBNM04
TOUSSAINT BONVIVANT MAN 11;M;;;TBNM11
TOUSSAINT BONVIVANT MAN 12;M;;;TBNM12
TOUSSAINT BONVIVANT MAN 13;M;;;TBNM13
TOUSSAINT BONVIVANT MAN 14;M;;;TBNM14
TOUSSAINT BONVIVANT WOMAN 01;W;;;TBNW01
TOUSSAINT BONVIVANT WOMAN 02;W;;;TBNW02
TOUSSAINT BONVIVANT WOMAN 03;W;;;TBNW03
TOUSSAINT BONVIVANT WOMAN 04;W;;;TBNW04
TOUSSAINT BONVIVANT WOMAN 11;W;;;TBNW11
TOUSSAINT BONVIVANT WOMAN 12;W;;;TBNW12
TOUSSAINT BONVIVANT WOMAN 13;W;;;TBNW13
TOUSSAINT BONVIVANT WOMAN 14;W;;;TBNW14
TOUSSAINT BOY 01;M;;;TBY01
TOUSSAINT BOY 02;M;;;TBY02
TOUSSAINT BOY 03;M;;;TBY03
TOUSSAINT BOY 04;M;;;TBY04
TOUSSAINT BOY 05;M;;;TBY05
TOUSSAINT BOY 11;M;;;TBY11
TOUSSAINT BOY 12;M;;;TBY12
TOUSSAINT BOY 13;M;;;TBY13
TOUSSAINT BOY 14;M;;;TBY14
TOUSSAINT BOY 15;M;;;TBY15
TOUSSAINT BOY 31;M;;;TBY31
TOUSSAINT BOY 32;M;;;TBY32
TOUSSAINT BOY 33;M;;;TBY33
TOUSSAINT BOY 34;M;;;TBY34
TOUSSAINT BOY 35;M;;;TBY35
TOUSSAINT BOY 36;M;;;TBY36
TOUSSAINT BOY 37;M;;;TBY37
TOUSSAINT BOY 38;M;;;TBY38
TOUSSAINT BOY 39;M;;;TBY39
TOUSSAINT CHORUS;M;;;TOCH
TOUSSAINT DOCKWORKER 01;M;;;TDW01
TOUSSAINT DOCKWORKER 02;M;;;TDW02
TOUSSAINT DOCKWORKER 03;M;;;TDW03
TOUSSAINT DOCKWORKER 11;M;;;TDW11
TOUSSAINT DOCKWORKER 12;M;;;TDW12
TOUSSAINT DOCKWORKER 13;M;;;TDW13
TOUSSAINT DOCKWORKER 14;M;;;TDW14
TOUSSAINT DOCKWORKER 15;M;;;TDW15
TOUSSAINT DOCKWORKER 31;M;;;TDW31
TOUSSAINT DOCKWORKER 32;M;;;TDW32
TOUSSAINT DOCKWORKER 33;M;;;TDW33
TOUSSAINT DOCKWORKER 34;M;;;TDW34
TOUSSAINT GIRL 01;W;;;TG01
TOUSSAINT GIRL 02;W;;;TG02
TOUSSAINT GIRL 03;W;;;TG03
TOUSSAINT GIRL 04;W;;;TG04
TOUSSAINT GIRL 05;W;;;TG05
TOUSSAINT GIRL 11;W;;;TG11
TOUSSAINT GIRL 12;W;;;TG12
TOUSSAINT GIRL 13;W;;;TG13
TOUSSAINT GIRL 14;W;;;TG14
TOUSSAINT GIRL 15;W;;;TG15
TOUSSAINT GIRL 31;W;;;TG31
TOUSSAINT GIRL 32;W;;;TG32
TOUSSAINT GIRL 33;W;;;TG33
TOUSSAINT GIRL 34;W;;;TG34
TOUSSAINT GIRL 35;W;;;TG35
TOUSSAINT GIRL 36;W;;;TG36
TOUSSAINT GIRL 37;W;;;TG37
TOUSSAINT GIRL 38;W;;;TG38
TOUSSAINT HERBALIST WOMAN 01;W;;;THW01
TOUSSAINT HERBALIST WOMAN 02;W;;;THW02
TOUSSAINT HERBALIST WOMAN 03;W;;;THW03
TOUSSAINT INKEEPER MAN 01;M;;;TIKM01
TOUSSAINT INKEEPER MAN 02;M;;;TIKM02
TOUSSAINT INKEEPER MAN 03;M;;;TIKM03
TOUSSAINT INKEEPER MAN 11;M;;;TIKM11
TOUSSAINT INKEEPER MAN 12;M;;;TIKM12
TOUSSAINT INKEEPER MAN 13;M;;;TIKM13
TOUSSAINT INKEEPER MAN 31;M;;;TIKM31
TOUSSAINT INKEEPER WOMAN 01;M;;;TIKW01
TOUSSAINT INKEEPER WOMAN 02;M;;;TIKW02
TOUSSAINT INKEEPER WOMAN 03;M;;;TIKW03
TOUSSAINT INKEEPER WOMAN 11;M;;;TIKW11
TOUSSAINT INKEEPER WOMAN 12;M;;;TIKW12
TOUSSAINT INKEEPER WOMAN 13;M;;;TIKW13
TOUSSAINT KNIGHT 01;M;;;TK01
TOUSSAINT KNIGHT 02;M;;;TK02
TOUSSAINT KNIGHT 03;M;;;TK03
TOUSSAINT KNIGHT 04;M;;;TK04
TOUSSAINT KNIGHT 05;M;;;TK05
TOUSSAINT KNIGHT 06;M;;;TK06
TOUSSAINT KNIGHT 07;M;;;TK07
