Status;Emotional state;Pose;Friendly name;Animation name;Animation type;Transition;Look ats;Tags;Dialog generator - animation speed;Generator generator - animation weight
;;;Placing Flower;q705_geralt_holding_flowers_gesure_placing_flower;Gesture;;;;0.72-1.0;0.4-1.0
;;;Placing Flowers;q705_geralt_holding_flowers_gesure_placing_flowers;Gesture;;;;0.72-1.0;0.4-1.0
;Sitting;Drinking;idle;q705_geralt_sitting_drinking_idle;Idle;;low_sitting_sad_headup_body_lookat, low_sitting_sad_headup_head_lookat;;0.72-1.0;0.4-1.0
;;;drink;q705_geralt_sitting_drinking_gesture_drink;Gesture;;;;0.72-1.0;0.4-1.0
;;;stir the alcohol;q705_geralt_sitting_drinking_gesture_stir_the_alcohol;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: Low Sitting Happy;q705_geralt_sitting_drinking_to_low_sitting_happy;Transition;Low, Happy, Sitting;;;0.72-1.0;0.4-1.0
;Sitting Ground;Vanilla;idle;q704_geralt_vanilla_sitting_on_ground_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;lean right;q704_geralt_vanilla_sitting_on_ground_gesture_lean_right;Gesture;;;;0.72-1.0;0.4-1.0
;Sword;Drawn;idle;geralt_sword_drawn_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
High;Combat;After Combat;idle;geralt_after_combat_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined Steel Sword;geralt_after_combat_idle_sheathe_steel_sword_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined Silver Sword;geralt_after_combat_idle_sheathe_silver_sword_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;Neutral;Standing;idle;high_standing_neutral_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;enter frontal;high_standing_neutral_enter_frontal;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;enter back;high_standing_neutral_enter_back;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;enter leftside;high_standing_neutral_enter_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;enter righside;high_standing_neutral_enter_righ;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;exit frontal;high_standing_neutral_exit_frontal;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;exit back;high_standing_neutral_exit_back;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;exit leftside;high_standing_neutral_exit_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;exit righside;high_standing_neutral_exit_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;exit frontal curve left;high_standing_neutral_exit_frontal_curve_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;exit frontal curve right;high_standing_neutral_exit_frontal_curve_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;enter frontal curve left;high_standing_neutral_enter_frontal_curve_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;enter frontal curve right;high_standing_neutral_enter_frontal_curve_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;enter frontal open door left;high_standing_neutral_enter_front_open_door_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;enter frontal open door right;high_standing_neutral_enter_front_open_door_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 45 left;high_standing_neutral_turn45_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 45 right;high_standing_neutral_turn45_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 90 left;high_standing_neutral_turn90_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 90 right;high_standing_neutral_turn90_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 180 left;high_standing_neutral_turn180_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 180 right;high_standing_neutral_turn180_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;weight shift 01;high_standing_neutral_weight_shift_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;weight shift 02;high_standing_neutral_weight_shift_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain 01;high_standing_neutral_gesture_explain_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;high_standing_neutral_gesture_explain_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;high_standing_neutral_gesture_explain_03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 04;high_standing_neutral_gesture_explain_04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 05;high_standing_neutral_gesture_explain_05;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;conversation step 1;high_standing_neutral_conversation_step1;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 2;high_standing_neutral_conversation_step2;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 3;high_standing_neutral_conversation_step3;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;open door left;high_standing_neutral_open_door_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;open door right;high_standing_neutral_open_door_right;Gesture;;;;0.72-1.0;0.4-1.0
;;;one step forward;high_standing_neutral_step_forward_casual;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;two steps forward;high_standing_neutral_two_steps_forward_casual;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;one step back;high_standing_neutral_step_back_casual;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;to: Ciri Sitting Under the Tree ;q705_high_standing_neutral_turn_180_to_ciri_sitting_under_the_tree;Transition;Ciri, Sitting, Under the Tree;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;high_standing_neutral_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Standing Proud;high_standing_neutral_to_high_standing_proud;Transition;High, Proud, Standing;;;0.72-1.0;0.4-1.0
;;;to: Syanna Standing Pose;ep2_high_standing_neutral_to_syanna_standing_pose;Transition;Syanna, Standing, Pose;;;0.72-1.0;0.4-1.0
;;;to: Triss Ling On a Deckchair;q705_high_standing_neutral_to_triss_lying_on_a_deckchair;Transition;Triss, Lying, On a Deckchair;;;0.72-1.0;0.4-1.0
;Determined;Standing;enter front 45 left;high_standing_determined_enter_front_45_left;Enter;;;;0.72-1.0;0.4-1.0
;;;enter front 45 right;high_standing_determined_enter_front_45_right;Enter;;;;0.72-1.0;0.4-1.0
;;;enter front curve left;high_standing_determined_enter_frontal_curve_left;Enter;;;;0.72-1.0;0.4-1.0
;;;enter front curve right;high_standing_determined_enter_frontal_curve_right;Enter;;;;0.72-1.0;0.4-1.0
;;;enter front run front;high_standing_determined_enter_run_in_frontal;Enter;;;;0.72-1.0;0.4-1.0
;;;enter front run left;high_standing_determined_enter_run_in_frontal_left;Enter;;;;0.72-1.0;0.4-1.0
;;;enter front run right;high_standing_determined_enter_run_in_frontal_right;Enter;;;;0.72-1.0;0.4-1.0
;;;enter open door left;high_standing_determined_open_door_left_walking;Enter;;;;0.72-1.0;0.4-1.0
;;;enter open door right;high_standing_determined_open_door_right_walking;Enter;;;;0.72-1.0;0.4-1.0
;;;geralt enter vineyard 45 right;q705_geralt_high_standing_determined_enter_vineyard_45_right;Enter;;;;0.72-1.0;0.4-1.0
;;;exit left 45 leftside;high_standing_determined_45_left_exit_leftside;Exit;;;;0.72-1.0;0.4-1.0
;;;exit left 45 rightside;high_standing_determined_45_left_exit_rightside;Exit;;;;0.72-1.0;0.4-1.0
;;;exit right 45 leftside;high_standing_determined_45_right_exit_leftside;Exit;;;;0.72-1.0;0.4-1.0
;;;exit right 45 rightside;high_standing_determined_45_right_exit_rightside;Exit;;;;0.72-1.0;0.4-1.0
;;;2 steps 45 forward left;high_standing_determined_2_steps_45_forward_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;2 steps 45 forward right;high_standing_determined_2_steps_45_forward_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 1;high_standing_determined_conversation_step_1;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 2;high_standing_determined_conversation_step_2;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 3;high_standing_determined_conversation_step_3;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;door knock;high_standing_determined_gesture_door_knock;Gesture;;;;0.72-1.0;0.4-1.0
;;;hold pillow;q705_high_standing_determined_hold_pillow;Gesture;;;;0.72-1.0;0.4-1.0
;;;open door left;high_standing_determined_open_door_left_standing;Gesture;;;;0.72-1.0;0.4-1.0
;;;open door right;high_standing_determined_open_door_right_standing;Gesture;;;;0.72-1.0;0.4-1.0
;;;step 45 forward left;high_standing_determined_step_45_forward_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;step 45 forward right;high_standing_determined_step_45_forward_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;step back casual;high_standing_determined_step_back_casual;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;step forward casual;high_standing_determined_step_forward_casual;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 45 left;high_standing_determined_turn_45_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 45 right;high_standing_determined_turn_45_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 180 left casual;high_standing_determined_turn_180_left_casual;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 180 right casual;high_standing_determined_turn_180_right_casual;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;walkcycle turn 45 left;high_standing_determined_walkcycle_turn_45_left; Move;;;;0.72-1.0;0.4-1.0
;;;walkcycle turn 45 right;high_standing_determined_walkcycle_turn_45_right; Move;;;;0.72-1.0;0.4-1.0
;;;to: Anna Henrietta Standing Relaxed;high_standing_determined_to_ep2_anarietta_standing_relaxed;Transition;Anna Henrietta, Relaxed, Standing;;;0.72-1.0;0.4-1.0
;;;to: Anna Henrietta Standing Tense;ep2_high_standing_determined_to_ep2_anarietta_standing_tense;Transition;Anna Henrietta, Tense, Standing;;;0.72-1.0;0.4-1.0
;;;to: Geralt Sword Drawn Steel;high_standing_determined_draw_sword_steel;Transition;Geralt, Sword, Drawn;;;0.72-1.0;0.4-1.0
