Status;Emotional state;Pose;Friendly name;Animation name;Animation type;Transition;Look ats;Tags;Dialog generator - animation speed;Generator generator - animation weight
;;;to: High Standing Leaning Back Aggressive;high_standing_aggressive_to_high_standing_leaning_back_aggressive;Transition;High, Aggressive, Standing Leaning Back;;;0.72-1.0;0.4-1.0
;;;to: High Standing Hold Fireball;high_standing_agressive_gesture_fireball;Transition;High, Hold Fireball, Standing;;;0.72-1.0;0.4-1.0
;;;turn 180 left;high_standing_aggressive_turn180_left;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;turn 180 right;high_standing_aggressive_turn180_right;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;turn 90 left;high_standing_aggressive_turn90_left;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;turn 90 right;high_standing_aggressive_turn90_right;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;two steps right 90;high_standing_aggressive_gesture_two_steps_right_90;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;Standinng Axe;idle;high_standing_axe_aggressive_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;Spell Channeling;spell channeling;high_channeling_aggressive_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;yennefer spell channeling;high_channeling_yennefer_idle;Gesture;;;;0.72-1.0;0.72-1.0
;;;to: High Standing Determined;high_channeling_aggressive_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.72-1.0
;;Hold Fireball;idle;high_standing_agressive_gesture_fireball_idle;Idle;;high_standing_aggressive_body_lookat, high_standing_aggressive_head_lookat;;0.72-1.0;0.72-1.0
;;Sitting;idle;high_sitting_aggressive_idle;Idle;;high_sitting_aggressive_body_lookat, high_sitting_aggressive_head_lookat;;0.72-1.0;0.4-1.0
;;;explain 01;high_sitting_aggressive_gesture_explain_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;high_sitting_aggressive_gesture_explain_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;high_sitting_aggressive_gesture_explain_03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 04;high_sitting_aggressive_gesture_explain_04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;question 01;high_sitting_aggressive_gesture_question_01;Gesture;;;Question, Talk;0.72-1.0;0.4-1.0
;;;question 02;high_sitting_aggressive_gesture_question_02;Gesture;;;Question, Talk;0.72-1.0;0.4-1.0
;;;question 03;high_sitting_aggressive_gesture_question_03;Gesture;;;Question, Talk;0.72-1.0;0.4-1.0
;;;shout 01;high_sitting_aggressive_gesture_shout_01;Gesture;;;Shout;0.72-1.0;0.4-1.0
;;;shout 02;high_sitting_aggressive_gesture_shout_02;Gesture;;;Shout;0.72-1.0;0.4-1.0
;;;"""left hand """"get out!"""" 1""";high_sitting_aggressive_gesture_left_hand_get_out_1;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;"""left hand """"get out!"""" 2""";high_sitting_aggressive_gesture_left_hand_get_out_2;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;shake head;high_sitting_aggressive_gesture_shake_head;Gesture;;;Talk, Listen;0.72-1.0;0.4-1.0
;;;to: High Standing Aggressive;high_sitting_aggressive_to_high_standing_aggressive;Transition;High, Aggressive, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Sitting Determined;high_sitting_aggressive_to_high_sitting_determined;Transition;High, Determined, Sitting;;;0.72-1.0;0.4-1.0
;;;to: Low Sitting Sad;high_sitting_aggressive_to_low_sitting_sad;Transition;Low, Sad, Sitting;;;0.72-1.0;0.4-1.0
;;;to: High Sitting Leaning Aggressive;high_sitting_aggressive_to_high_sitting_leaning_aggressive;Transition;High, Aggressive, Sitting Leaning;;;0.72-1.0;0.4-1.0
;;Standing Leaning;idle;high_standing_leaning_aggressive_idle ;Idle;High, Determined, Sitting2;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;xxx;xxx;;;;;0.72-1.0;0.4-1.0
;;Standing Leaning Back;idle;high_standing_leaning_back_aggressive_idle;Idle;;high_standing_leaning_back_aggressive_body_lookat, high_standing_leaning_back_aggressive_head_lookat;;0.72-1.0;0.4-1.0
;;;explain 01;high_standing_leaning_back_aggressive_gesture_explain_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;high_standing_leaning_back_aggressive_gesture_explain_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;high_standing_leaning_back_aggressive_gesture_explain_03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 04;high_standing_leaning_back_aggressive_gesture_explain_04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;question 01;high_standing_leaning_back_aggressive_gesture_question_01;Gesture;;;Question, Talk;0.72-1.0;0.4-1.0
;;;question 02;high_standing_leaning_back_aggressive_gesture_question_02;Gesture;;;Question, Talk;0.72-1.0;0.4-1.0
;;;question 03;high_standing_leaning_back_aggressive_gesture_question_03;Gesture;;;Question, Talk;0.72-1.0;0.4-1.0
;;;shout 01;high_standing_leaning_back_aggressive_gesture_shout_01;Gesture;;;Shout;0.72-1.0;0.4-1.0
;;;shout 02;high_standing_leaning_back_aggressive_gesture_shout_02;Gesture;;;Shout;0.72-1.0;0.4-1.0
;;;to: High Standing Aggressive;high_standing_leaning_back_aggressive_to_high_standing_aggressive;Transition;High, Aggressive, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Standing Proud;high_standing_leaning_back_aggressive_to_high_standing_proud;Transition;High, Proud, Standing;;;0.72-1.0;0.4-1.0
;;;to High Standing Leaning Back Sad;high_standing_leaning_back_aggressive_to_high_standing_leaning_back_sad;Transition;High, Sad, Standing Leaning Back;;;0.72-1.0;0.4-1.0
;;Sitting Leaning;idle;high_sitting_leaning_aggressive_idle;Idle;;low_sitting_sad_body_lookat, low_sitting_sad_head_lookat;;0.72-1.0;0.4-1.0
;;;enter front;high_sitting_leaning_aggressive_enter_frontal;Enter;;;;0.72-1.0;0.4-1.0
;;;explain 01;high_sitting_leaning_aggressive_gesture_explain_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;high_sitting_leaning_aggressive_gesture_explain_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;high_sitting_leaning_aggressive_gesture_explain_03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 04;high_sitting_leaning_aggressive_gesture_explain_04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;question 01;high_sitting_leaning_aggressive_gesture_question_01;Gesture;;;Question, Talk;0.72-1.0;0.4-1.0
;;;question 02;high_sitting_leaning_aggressive_gesture_question_02;Gesture;;;Question, Talk;0.72-1.0;0.4-1.0
;;;question 03;high_sitting_leaning_aggressive_gesture_question_03;Gesture;;;Question, Talk;0.72-1.0;0.4-1.0
;;;shout 01;high_sitting_leaning_aggressive_gesture_shout_01;Gesture;;;Shout;0.72-1.0;0.4-1.0
;;;shout 02;high_sitting_leaning_aggressive_gesture_shout_02;Gesture;;;Shout;0.72-1.0;0.4-1.0
;;;to: High Standing Aggressive;high_sitting_leaning_aggressive_to_high_standing_aggressive;Transition;High, Aggressive, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Sitting Aggressive;high_sitting_leaning_aggressive_to_high_sitting_aggressive ;Transtion;High, Aggressive, Sitting;;;0.72-1.0;0.4-1.0
;;;to: High Sitting Leaning Determined;high_sitting_leaning_aggressive_to_high_sitting_leaning_determined;Transtion;High, Determined, Sitting Leaning;;;0.72-1.0;0.4-1.0
;;Kneeling;xxx;xxx;;;;;0.72-1.0;0.4-1.0
;;;xxx;xxx;;;;;0.72-1.0;0.4-1.0
;;Laying;xxx;xxx;;;;;0.72-1.0;0.4-1.0
;;;xxx;xxx;;;;;0.72-1.0;0.4-1.0
;;Knockdown;idle;monster_werewolf_knockdown_loop;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;Wild Hunt Standing Axe;idle;high_standing_wildhunt_axe_aggressive_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;Determined;Standing;idle;high_standing_determined_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;enter back;high_standing_determined_enter_back;Enter;;;;0.72-1.0;0.4-1.0
;;;enter front;high_standing_determined_enter_frontal;Enter;;;;0.72-1.0;0.4-1.0
;;;enter left;high_standing_determined_enter_leftside;Enter;;;;0.72-1.0;0.4-1.0
;;;enter right;high_standing_determined_enter_rightside;Enter;;;;0.72-1.0;0.4-1.0
;;;enter right hold sword;high_standing_determined_enter_rightside_additive_hold_sword;Enter;;;;0.72-1.0;0.4-1.0
;;;exit back;high_standing_determined_exit_back;Exit;;;;0.72-1.0;0.4-1.0
;;;exit back follow gesture;high_standing_determined_exit_back_gesture_follow;Exit;;;;0.72-1.0;0.4-1.0
;;;exit front;high_standing_determined_exit_frontal;Exit;;;;0.72-1.0;0.4-1.0
;;;exit left;high_standing_determined_exit_leftside;Exit;;;;0.72-1.0;0.4-1.0
;;;exit right;high_standing_determined_exit_rightside;Exit;;;;0.72-1.0;0.4-1.0
;;;enter calm front;high_standing_determined_calm_enter_frontal;Enter;;;;0.72-1.0;0.4-1.0
;;;enter calm back;high_standing_determined_calm_enter_back;Enter;;;;0.72-1.0;0.4-1.0
;;;enter calm left;high_standing_determined_calm_enter_leftside;Enter;;;;0.72-1.0;0.4-1.0
;;;enter calm right;high_standing_determined_calm_enter_rightside;Enter;;;;0.72-1.0;0.4-1.0
;;;enter carrying gold box;enter_carrying_gold_box;Enter;;;;0.72-1.0;0.4-1.0
;;;Emhyr enter frontal;high_standing_determined_emhyr_enter_frontal;Enter;;;;0.72-1.0;0.4-1.0
;;;exit calm front;high_standing_determined_calm_exit_frontal;Exit;;;;0.72-1.0;0.4-1.0
;;;exit calm back;high_standing_determined_calm_exit_back;Exit;;;;0.72-1.0;0.4-1.0
;;;exit calm left;high_standing_determined_calm_exit_leftside;Exit;;;;0.72-1.0;0.4-1.0
;;;exit calm left hold sword;high_standing_determined_calm_exit_leftside_add_hold_sword_rh;Exit;;;;0.72-1.0;0.4-1.0
;;;exit calm right;high_standing_determined_calm_exit_rightside;Exit;;;;0.72-1.0;0.4-1.0
;;;to: High Sitting Determined (walk left to);high_standing_determined_walk_to_high_sitting_determined;Transition;High, Determined, Sitting;;;0.72-1.0;0.4-1.0
;;;hold sword;high_standing_determined_additive_hold_sword;Gesture;;;;0.72-1.0;0.4-1.0
;;;Axii Covert;high_standing_determined_gesture_axii_covert;Gesture;;;;0.72-1.0;0.4-1.0
;;;Axii Open Left;high_standing_determined_gesture_axii_open_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;Axii Open Right;high_standing_determined_gesture_axii_open_right;Gesture;;;;0.72-1.0;0.4-1.0
;;;lean forward;high_standing_determined_gesture_lean_forward ;Gesture;;;;0.72-1.0;0.4-1.0
;;;step forward;high_standing_determined_step_forward ;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;two steps forward;high_standing_determined_2_steps_forward ;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;step back;high_standing_determined_gesture_step_back;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;two steps back;high_standing_determined_gesture_two_steps_back;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;step left;high_standing_determined_gesture_step_left;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;two steps left;high_standing_determined_gesture_two_steps_left;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;step right;high_standing_determined_gesture_step_right;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;two steps right;high_standing_determined_gesture_two_steps_right;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;casual one step back;high_standing_determined_walk_one_step_back_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;casual one step forward;high_standing_determined_walk_one_step_forward_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;casual two steps forward;high_standing_determined_walk_two_steps_forward_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;casual two steps left 90;high_standing_determined_walk_two_steps_left_90_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;casual two steps left;high_standing_determined_walk_two_steps_left_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;casual two steps right 90;high_standing_determined_walk_two_steps_right_90_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;casual two steps right;high_standing_determined_walk_two_steps_right_causal;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;walk and back front;high_standing_determined_walk_and_back_front;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;walk and back left;high_standing_determined_walk_and_back_left;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;walk and back right;high_standing_determined_walk_and_back_right;Move, Gesture;;;;0.72-1.0;0.4-1.0
;;;approve;high_standing_determined_gesture_approve;Gesture;;;;0.72-1.0;0.4-1.0
;;;catch firefly;high_standing_determined_gesture_catch_firefly;Gesture;;;;0.72-1.0;0.4-1.0
;;;catch money;high_standing_determined_gesture_catch_money;Gesture;;;;0.72-1.0;0.4-1.0
;;;check out lamp;high_standing_determined_gesture_check_out_lamp_wow_amaze;Gesture;;;;0.72-1.0;0.4-1.0
;;;chop chop;high_standing_determined_gesture_chop_chop;Gesture;;;;0.72-1.0;0.4-1.0
;;;cover face;high_standing_determined_gesture_cover_face;Gesture;;;;0.72-1.0;0.4-1.0
;;;bad troll;high_standing_determined_gesture_bad_troll;Gesture;;;;0.72-1.0;0.4-1.0
;;;boom;high_standing_determined_gesture_boom;Gesture;;;;0.72-1.0;0.4-1.0
;;;both hands 1;high_standing_determined_gesture_both_hands_1;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;both hands 2;high_standing_determined_gesture_both_hands_2;Gesture;;;Talk, Question;0.72-1.0;0.4-1.0
;;;both hands 3;high_standing_determined_gesture_both_hands_3;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;both hands flick 1;high_standing_determined_gesture_both_hands_flick_1;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;"both hands ""options""";high_standing_determined_gesture_both_hands_options;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;"both hands ""stop""";high_standing_determined_gesture_both_hands_stop;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;bristle;high_standing_determined_gesture_bristle;Gesture;;;;0.72-1.0;0.4-1.0
;;;chuckle;high_standing_determined_gesture_chuckle;Gesture;;;Talk, Listen;0.72-1.0;0.4-1.0
;;;cough;high_standing_determined_gesture_cough;Gesture;;;Listen;0.72-1.0;0.4-1.0
;;;court;high_standing_determined_gesture_court;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;decline;high_standing_determined_gesture_decline;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;do it;high_standing_determined_gesture_do_it;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;drop coin;high_standing_determined_gesture_deop_coin;Gesture;;;;0.72-1.0;0.4-1.0
;;;hood on;high_standing_determined_gesture_hood_on;Gesture;;;;0.72-1.0;0.4-1.0
;;;hood off;high_standing_determined_gesture_hood_off;Gesture;;;;0.72-1.0;0.4-1.0
;;;exclamation 1;high_standing_determined_gesture_exclamation_01;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;exclamation 2;high_standing_determined_gesture_exclamation_02;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;exclamation 2 both hands;high_standing_determined_gesture_exclamation_02_both_hands;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;explain 01;high_standing_determined_gesture_explain_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 02;high_standing_determined_gesture_explain_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 03;high_standing_determined_gesture_explain_03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 04;high_standing_determined_gesture_explain_04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;explain 05;high_standing_determined_gesture_explain_05;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;facepalm;high_standing_determined_gesture_facepalm;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;farewell left;high_standing_determined_gesture_farewell_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;farewell right;high_standing_determined_gesture_farewell_right;Gesture;;;;0.72-1.0;0.4-1.0
;;;finish digging;high_standing_determined_guesture_finish_digging;Gesture;;;;0.72-1.0;0.4-1.0
;;;geralt respectful bow;high_standing_determined_gesture_geralt_respectful_bow;Gesture;;;;0.72-1.0;0.4-1.0
;;;geralt respectful bow wrong side;high_standing_determined_gesture_geralt_respectful_bow_wrong_side;Gesture;;;;0.72-1.0;0.4-1.0
;;;geralt tries respectful bow;high_standing_determined_gesture_geralt_tries_respectful_bow;Gesture;;;;0.72-1.0;0.4-1.0
;;;geralt tries respectful bow wrong side;high_standing_determined_gesture_geralt_tries_respectful_bow_wrong_side;Gesture;;;;0.72-1.0;0.4-1.0
;;;give;high_standing_determined_gesture_give;Gesture;;;;0.72-1.0;0.4-1.0
;;;greeting geralt 01;high_standing_determined_gesture_greeting_geralt_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;greeting geralt 02;high_standing_determined_gesture_greeting_geralt_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;greeting geralt 03;high_standing_determined_gesture_greeting_geralt_03;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;greeting geralt 04;high_standing_determined_gesture_greeting_geralt_04;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;hair fix 01;high_standing_determined_gesture_hair_01;Gesture;;;Talk, Listen;0.72-1.0;0.4-1.0
;;;hold it;high_standing_determined_gesture_holdit;Gesture;;;;0.72-1.0;0.4-1.0
;;;hug front 01;high_standing_determined_gesture_hug_front_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;hug front no step 01;high_standing_determined_gesture_hug_front_no_step01;Gesture;;;;0.72-1.0;0.4-1.0
;;;instruct;high_standing_determined_gesture_instruct;Gesture;;;;0.72-1.0;0.4-1.0
;;;strike left;high_standing_determined_gesture_strike_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;Keira feint;high_standing_determined_gesture_keira_feint;Gesture;;;;0.72-1.0;0.4-1.0
;;;kiss front 01;high_standing_determined_gesture_kiss_front_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;knock on door;high_standing_determined_gesture_knock_door;Gesture;;;;0.72-1.0;0.4-1.0
;;;"""looking for me""";high_standing_determined_gesture_looking_for_me_step;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;"""""""looking for me"""" no step""";high_standing_determined_gesture_looking_for_me;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;"""me""";high_standing_determined_gesture_me;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;"""me and you""";high_standing_determined_gesture_me_and_you;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;"""you""";high_standing_determined_gesture_you;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;"""who are you""";high_standing_determined_gesture_who_are_you;Gesture;;;Talk, Shout;0.72-1.0;0.4-1.0
;;;bow 1;high_standing_determined_gesture_bow_1;Gesture;;;;0.72-1.0;0.4-1.0
;;;pardon;high_standing_determined_gesture_pardon;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;passionate kiss fron 01;high_standing_determined_gesture_passionate_front_kiss_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;place lamp;high_standing_determined_gesture_place_lamp;Gesture;;;;0.72-1.0;0.4-1.0
;;;point up;high_standing_determined_gesture_point_up;Gesture;;;;0.72-1.0;0.4-1.0
;;;point up (left);high_standing_determined_gesture_point_up_l;Gesture;;;;0.72-1.0;0.4-1.0
;;;point up (right);high_standing_determined_gesture_point_up_r;Gesture;;;;0.72-1.0;0.4-1.0
;;;point forward;high_standing_determined_gesture_point_forward;Gesture;;;;0.72-1.0;0.4-1.0
;;;point back;high_standing_determined_gesture_point_back;Gesture;;;;0.72-1.0;0.4-1.0
;;;point left;high_standing_determined_gesture_point_left;Gesture;;;;0.72-1.0;0.4-1.0
;;;point right;high_standing_determined_gesture_point_right;Gesture;;;;0.72-1.0;0.4-1.0
;;;pour vodka;high_standing_determined_gesture_pour_vodka;Gesture;;;;0.72-1.0;0.4-1.0
;;;preparing horse 1;high_standing_determined_gesture_preparing_horse1;Gesture;;;;0.72-1.0;0.4-1.0
;;;greeting 1;high_standing_determined_gesture_greeting_01;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;greeting 2;high_standing_determined_gesture_greeting_02;Gesture;;;Talk;0.72-1.0;0.4-1.0
;;;question 1;high_standing_determined_gesture_question;Gesture;;;Talk, Question;0.72-1.0;0.4-1.0
;;;question 01;high_standing_determined_gesture_question_01;Gesture;;;Talk, Question;0.72-1.0;0.4-1.0
